id,name,sequence,attribute_id:id
Battery-powered,battery-powered,1,amazon_ept_v10.PowerSource
Gas-powered,gas-powered,2,amazon_ept_v10.PowerSource
Hydraulic-powered,hydraulic-powered,3,amazon_ept_v10.PowerSource
Air-powered,air-powered,4,amazon_ept_v10.PowerSource
Corded-electric,corded-electric,5,amazon_ept_v10.PowerSource
not_water_resistan,not_water_resistan,6,amazon_ept_v10.WaterResistanceLevel
water_resistant,water_resistant,7,amazon_ept_v10.WaterResistanceLevel
waterproof,waterproof,8,amazon_ept_v10.WaterResistanceLevel
A,A,9,amazon_ept_v10.CupSize
AA,AA,10,amazon_ept_v10.CupSize
B,B,11,amazon_ept_v10.CupSize
C,C,12,amazon_ept_v10.CupSize
D,D,13,amazon_ept_v10.CupSize
DD,DD,14,amazon_ept_v10.CupSize
DDD,DDD,15,amazon_ept_v10.CupSize
E,E,16,amazon_ept_v10.CupSize
EE,EE,17,amazon_ept_v10.CupSize
F,F,18,amazon_ept_v10.CupSize
FF,FF,19,amazon_ept_v10.CupSize
G,G,20,amazon_ept_v10.CupSize
GG,GG,21,amazon_ept_v10.CupSize
H,H,22,amazon_ept_v10.CupSize
J,J,23,amazon_ept_v10.CupSize
I,I,24,amazon_ept_v10.CupSize
J,J,25,amazon_ept_v10.CupSize
Free,Free,26,amazon_ept_v10.CupSize
DigitalDesigns,DigitalDesigns,50,amazon_ept_v10.ProductTypeamazon_eptamazon_threedprinting
ThreeDPrintedProduct,ThreeDPrintedProduct,51,amazon_ept_v10.ProductTypeamazon_eptamazon_threedprinting
ThreeDPrintableDesigns,ThreeDPrintableDesigns,52,amazon_ept_v10.ProductTypeamazon_eptamazon_threedprinting
SportingGoods,SportingGoods,62,amazon_ept_v10.ProductTypeSport
GolfClubHybrid,GolfClubHybrid,63,amazon_ept_v10.ProductTypeSport
GolfClubIron,GolfClubIron,64,amazon_ept_v10.ProductTypeSport
GolfClubPutter,GolfClubPutter,65,amazon_ept_v10.ProductTypeSport
GolfClubWedge,GolfClubWedge,66,amazon_ept_v10.ProductTypeSport
GolfClubWood,GolfClubWood,67,amazon_ept_v10.ProductTypeSport
GolfClubs,GolfClubs,68,amazon_ept_v10.ProductTypeSport
bulk,bulk,69,amazon_ept_v10.IdentityPackageTypeSport
frustration_free,frustration_free,70,amazon_ept_v10.IdentityPackageTypeSport
traditional,traditional,71,amazon_ept_v10.IdentityPackageTypeSport
batteries_contained_in_equipment,batteries_contained_in_equipment,72,amazon_ept_v10.LithiumBatteryPackagingSport
batteries_only,batteries_only,73,amazon_ept_v10.LithiumBatteryPackagingSport
batteries_packed_with_equipment,batteries_packed_with_equipment,74,amazon_ept_v10.LithiumBatteryPackagingSport
male,male,75,amazon_ept_v10.TargetGenderSport
female,female,76,amazon_ept_v10.TargetGenderSport
unisex,unisex,77,amazon_ept_v10.TargetGenderSport
BatteryPackagingBeauty_batteries_contained_in_equipment,batteries_contained_in_equipment,78,amazon_ept_v10.LithiumBatteryPackagingBeauty
BatteryPackagingBeauty_batteries_only,batteries_only,79,amazon_ept_v10.LithiumBatteryPackagingBeauty
BatteryPackagingBeauty_batteries_packed_with_equipment,batteries_packed_with_equipment,80,amazon_ept_v10.LithiumBatteryPackagingBeauty
TargetGenderBeauty_male,male,81,amazon_ept_v10.TargetGenderBeauty
TargetGenderBeauty_female,female,82,amazon_ept_v10.TargetGenderBeauty
TargetGenderBeauty_unisex,unisex,83,amazon_ept_v10.TargetGenderBeauty
battery_type_2/3A,battery_type_2/3A,84,amazon_ept_v10.BatteryTypeBeauty
battery_type_4/3A,battery_type_4/3A,85,amazon_ept_v10.BatteryTypeBeauty
battery_type_4/5A,battery_type_4/5A,86,amazon_ept_v10.BatteryTypeBeauty
battery_type_9v,battery_type_9v,87,amazon_ept_v10.BatteryTypeBeauty
battery_type_12v,battery_type_12v,88,amazon_ept_v10.BatteryTypeBeauty
battery_type_a,battery_type_a,89,amazon_ept_v10.BatteryTypeBeauty
battery_type_a76,battery_type_a76,90,amazon_ept_v10.BatteryTypeBeauty
battery_type_aa,battery_type_aa,91,amazon_ept_v10.BatteryTypeBeauty
battery_type_aaa,battery_type_aaa,92,amazon_ept_v10.BatteryTypeBeauty
battery_type_aaaa,battery_type_aaaa,93,amazon_ept_v10.BatteryTypeBeauty
battery_type_c,battery_type_c,94,amazon_ept_v10.BatteryTypeBeauty
battery_type_cr123a,battery_type_cr123a,95,amazon_ept_v10.BatteryTypeBeauty
battery_type_cr2,battery_type_cr2,96,amazon_ept_v10.BatteryTypeBeauty
battery_type_cr5,battery_type_cr5,97,amazon_ept_v10.BatteryTypeBeauty
battery_type_d,battery_type_d,98,amazon_ept_v10.BatteryTypeBeauty
battery_type_lithium_ion,battery_type_lithium_ion,99,amazon_ept_v10.BatteryTypeBeauty
battery_type_lithium_metal,battery_type_lithium_metal,100,amazon_ept_v10.BatteryTypeBeauty
battery_type_L-SC,battery_type_L-SC,101,amazon_ept_v10.BatteryTypeBeauty
battery_type_p76,battery_type_p76,102,amazon_ept_v10.BatteryTypeBeauty
battery_type_product_specific,battery_type_product_specific,103,amazon_ept_v10.BatteryTypeBeauty
battery_type_SC,battery_type_SC,104,amazon_ept_v10.BatteryTypeBeauty
beigewireless,beige,113,amazon_ept_v10.ColorMapWireslessAccessories
blackwireless,black,114,amazon_ept_v10.ColorMapWireslessAccessories
bluewireless,blue,115,amazon_ept_v10.ColorMapWireslessAccessories
brasswireless,brass,116,amazon_ept_v10.ColorMapWireslessAccessories
bronzewireless,bronze,117,amazon_ept_v10.ColorMapWireslessAccessories
brownwireless,brown,118,amazon_ept_v10.ColorMapWireslessAccessories
burstwireless,burst,119,amazon_ept_v10.ColorMapWireslessAccessories
chromewireless,chrome,120,amazon_ept_v10.ColorMapWireslessAccessories
clearwireless,clear,121,amazon_ept_v10.ColorMapWireslessAccessories
goldwireless,gold,122,amazon_ept_v10.ColorMapWireslessAccessories
graywireless,gray,123,amazon_ept_v10.ColorMapWireslessAccessories
greenwireless,green,124,amazon_ept_v10.ColorMapWireslessAccessories
metallicwireless,metallic,125,amazon_ept_v10.ColorMapWireslessAccessories
multi-coloredwireless,multi-colored,126,amazon_ept_v10.ColorMapWireslessAccessories
naturalwireless,natural,127,amazon_ept_v10.ColorMapWireslessAccessories
off-whitewireless,off-white,128,amazon_ept_v10.ColorMapWireslessAccessories
orangewireless,orange,129,amazon_ept_v10.ColorMapWireslessAccessories
pinkwireless,pink,130,amazon_ept_v10.ColorMapWireslessAccessories
purplewireless,purple,131,amazon_ept_v10.ColorMapWireslessAccessories
redwireless,red,132,amazon_ept_v10.ColorMapWireslessAccessories
silverwireless,silver,133,amazon_ept_v10.ColorMapWireslessAccessories
whitewireless,white,134,amazon_ept_v10.ColorMapWireslessAccessories
yellowwireless,yellow,135,amazon_ept_v10.ColorMapWireslessAccessories
Shirtclothingtype,Shirt,157,amazon_ept_v10.ClothingTypeProductClothing
Sweaterclothingtype,Sweater,158,amazon_ept_v10.ClothingTypeProductClothing
Pantsclothingtype,Pants,159,amazon_ept_v10.ClothingTypeProductClothing
Shortsclothingtype,Shorts,160,amazon_ept_v10.ClothingTypeProductClothing
Skirtclothingtype,Skirt,161,amazon_ept_v10.ClothingTypeProductClothing
Dressclothingtype,Dress,162,amazon_ept_v10.ClothingTypeProductClothing
Suitclothingtype,Suit,163,amazon_ept_v10.ClothingTypeProductClothing
Blazerclothingtype,Blazer,164,amazon_ept_v10.ClothingTypeProductClothing
Outerwearclothingtype,Outerwear,165,amazon_ept_v10.ClothingTypeProductClothing
SocksHosieryclothingtype,SocksHosiery,166,amazon_ept_v10.ClothingTypeProductClothing
Underwearclothingtype,Underwear,167,amazon_ept_v10.ClothingTypeProductClothing
Braclothingtype,Bra,168,amazon_ept_v10.ClothingTypeProductClothing
Shoesclothingtype,Shoes,169,amazon_ept_v10.ClothingTypeProductClothing
Hatclothingtype,Hat,170,amazon_ept_v10.ClothingTypeProductClothing
Accessoryclothingtype,Accessory,171,amazon_ept_v10.ClothingTypeProductClothing
Bagclothingtype,Bag,172,amazon_ept_v10.ClothingTypeProductClothing
Jewelryclothingtype,Jewelry,173,amazon_ept_v10.ClothingTypeProductClothing
Sleepwearclothingtype,Sleepwear,174,amazon_ept_v10.ClothingTypeProductClothing
Swimwearclothingtype,Swimwear,175,amazon_ept_v10.ClothingTypeProductClothing
PersonalBodyCareclothingtype,PersonalBodyCare,176,amazon_ept_v10.ClothingTypeProductClothing
HomeAccessoryclothingtype,HomeAccessory,177,amazon_ept_v10.ClothingTypeProductClothing
NonApparelMiscclothingtype,NonApparelMisc,178,amazon_ept_v10.ClothingTypeProductClothing
Kimonoclothingtype,Kimono,179,amazon_ept_v10.ClothingTypeProductClothing
Obiclothingtype,Obi,180,amazon_ept_v10.ClothingTypeProductClothing
Chanchankoclothingtype,Chanchanko,181,amazon_ept_v10.ClothingTypeProductClothing
Jinbeiclothingtype,Jinbei,182,amazon_ept_v10.ClothingTypeProductClothing
Yukataclothingtype,Yukata,183,amazon_ept_v10.ClothingTypeProductClothing
EthnicWearclothingtype,EthnicWear,184,amazon_ept_v10.ClothingTypeProductClothing
Costumeclothingtype,Costume,185,amazon_ept_v10.ClothingTypeProductClothing
AdultCostumeclothingtype,AdultCostume,186,amazon_ept_v10.ClothingTypeProductClothing
BabyCostumeclothingtype,BabyCostume,187,amazon_ept_v10.ClothingTypeProductClothing
ChildrensCostumeclothingtype,ChildrensCostume,188,amazon_ept_v10.ClothingTypeProductClothing
SunproofClothing,Sunproof,189,amazon_ept_v10.PerformanceRatingProductClothing
WaterproofClothing,Waterproof,190,amazon_ept_v10.PerformanceRatingProductClothing
WeatherproofClothing,Weatherproof,191,amazon_ept_v10.PerformanceRatingProductClothing
WindproofClothing,Windproof,192,amazon_ept_v10.PerformanceRatingProductClothing
AClothing,A,193,amazon_ept_v10.CupSizeProductClothing
AAClothing,AA,194,amazon_ept_v10.CupSizeProductClothing
BClothing,B,195,amazon_ept_v10.CupSizeProductClothing
CClothing,C,196,amazon_ept_v10.CupSizeProductClothing
DClothing,D,197,amazon_ept_v10.CupSizeProductClothing
DDClothing,DD,198,amazon_ept_v10.CupSizeProductClothing
DDDClothing,DDD,199,amazon_ept_v10.CupSizeProductClothing
EClothing,E,200,amazon_ept_v10.CupSizeProductClothing
EEClothing,EE,201,amazon_ept_v10.CupSizeProductClothing
FClothing,F,202,amazon_ept_v10.CupSizeProductClothing
FFClothing,FF,203,amazon_ept_v10.CupSizeProductClothing
GClothing,G,204,amazon_ept_v10.CupSizeProductClothing
GGClothing,GG,205,amazon_ept_v10.CupSizeProductClothing
HClothing,H,206,amazon_ept_v10.CupSizeProductClothing
IClothing,I,207,amazon_ept_v10.CupSizeProductClothing
JClothing,J,208,amazon_ept_v10.CupSizeProductClothing
FreeClothing,Free,209,amazon_ept_v10.CupSizeProductClothing
maleClothing,male,210,amazon_ept_v10.TargetGenderProductClothing
femaleClothing,female,211,amazon_ept_v10.TargetGenderProductClothing
unisexClothing,unisex,212,amazon_ept_v10.TargetGenderProductClothing
not_water_resistantClothing,not_water_resistant,213,amazon_ept_v10.WaterResistanceLevelProductClothing
water_resistantClothing,water_resistant,214,amazon_ept_v10.WaterResistanceLevelProductClothing
waterproofClothing,waterproof,215,amazon_ept_v10.WaterResistanceLevelProductClothing
batteries_contained_in_equipmentcloth,batteries_contained_in_equipment,216,amazon_ept_v10.LithiumBatteryPackagingProductClothing
batteries_onlycloth,batteries_only,217,amazon_ept_v10.LithiumBatteryPackagingProductClothing
batteries_packed_with_equipmentcloth,batteries_packed_with_equipment,218,amazon_ept_v10.LithiumBatteryPackagingProductClothing
battery_type_2/3AClothing,battery_type_2/3A,84,amazon_ept_v10.BatteryTypeProductClothing
battery_type_4/3AClothing,battery_type_4/3A,85,amazon_ept_v10.BatteryTypeProductClothing
battery_type_4/5AClothing,battery_type_4/5A,86,amazon_ept_v10.BatteryTypeProductClothing
battery_type_9vClothing,battery_type_9v,87,amazon_ept_v10.BatteryTypeProductClothing
battery_type_12vClothing,battery_type_12v,88,amazon_ept_v10.BatteryTypeProductClothing
battery_type_aClothing,battery_type_a,89,amazon_ept_v10.BatteryTypeProductClothing
battery_type_a76Clothing,battery_type_a76,90,amazon_ept_v10.BatteryTypeProductClothing
battery_type_aaClothing,battery_type_aa,91,amazon_ept_v10.BatteryTypeProductClothing
battery_type_aaaClothing,battery_type_aaa,92,amazon_ept_v10.BatteryTypeProductClothing
battery_type_aaaaClothing,battery_type_aaaa,93,amazon_ept_v10.BatteryTypeProductClothing
battery_type_cClothing,battery_type_c,94,amazon_ept_v10.BatteryTypeProductClothing
battery_type_cr123aClothing,battery_type_cr123a,95,amazon_ept_v10.BatteryTypeProductClothing
battery_type_cr2Clothing,battery_type_cr2,96,amazon_ept_v10.BatteryTypeProductClothing
battery_type_cr5Clothing,battery_type_cr5,97,amazon_ept_v10.BatteryTypeProductClothing
battery_type_dClothing,battery_type_d,98,amazon_ept_v10.BatteryTypeProductClothing
battery_type_lithium_ionClothing,battery_type_lithium_ion,99,amazon_ept_v10.BatteryTypeProductClothing
battery_type_lithium_metalClothing,battery_type_lithium_metal,100,amazon_ept_v10.BatteryTypeProductClothing
battery_type_L-SCClothing,battery_type_L-SC,101,amazon_ept_v10.BatteryTypeProductClothing
battery_type_p76Clothing,battery_type_p76,102,amazon_ept_v10.BatteryTypeProductClothing
battery_type_product_specificClothing,battery_type_product_specific,103,amazon_ept_v10.BatteryTypeProductClothing
battery_type_SCClothing,battery_type_SC,104,amazon_ept_v10.BatteryTypeProductClothing
Antiques105,Antiques,105,amazon_ept_v10.ProductTypeMiscellaneous
Art106,Art,106,amazon_ept_v10.ProductTypeMiscellaneous
Car_Parts_and_Accessories107,Car_Parts_and_Accessories,107,amazon_ept_v10.ProductTypeMiscellaneous
Coins108,Coins,108,amazon_ept_v10.ProductTypeMiscellaneous
Collectibles109,Collectibles,109,amazon_ept_v10.ProductTypeMiscellaneous
Crafts110,Crafts,110,amazon_ept_v10.ProductTypeMiscellaneous
Event_Tickets111,Event_Tickets,111,amazon_ept_v10.ProductTypeMiscellaneous
Flowers112,Flowers,112,amazon_ept_v10.ProductTypeMiscellaneous
Gifts_and_Occasions113,Gifts_and_Occasions,113,amazon_ept_v10.ProductTypeMiscellaneous
Gourmet_Food_and_Wine114,Gourmet_Food_and_Wine,114,amazon_ept_v10.ProductTypeMiscellaneous
Hobbies115,Hobbies,115,amazon_ept_v10.ProductTypeMiscellaneous
Home_Furniture_and_Decor116,Home_Furniture_and_Decor,116,amazon_ept_v10.ProductTypeMiscellaneous
Home_Lighting_and_Lamps117,Home_Lighting_and_Lamps,117,amazon_ept_v10.ProductTypeMiscellaneous
Home_Organizers_and_Storage118,Home_Organizers_and_Storage,118,amazon_ept_v10.ProductTypeMiscellaneous
Jewelry_and_Gems119,Jewelry_and_Gems,119,amazon_ept_v10.ProductTypeMiscellaneous
Luggage120,Luggage,120,amazon_ept_v10.ProductTypeMiscellaneous
Major_Home_Appliances121,Major_Home_Appliances,121,amazon_ept_v10.ProductTypeMiscellaneous
Medical_Supplies122,Medical_Supplies,122,amazon_ept_v10.ProductTypeMiscellaneous
Motorcycles123,Motorcycles,123,amazon_ept_v10.ProductTypeMiscellaneous
Musical_Instruments124,Musical_Instruments,124,amazon_ept_v10.ProductTypeMiscellaneous
Pet_Supplies125,Pet_Supplies,125,amazon_ept_v10.ProductTypeMiscellaneous
Pottery_and_Glass126,Pottery_and_Glass,126,amazon_ept_v10.ProductTypeMiscellaneous
Prints_and_Posters127,Prints_and_Posters,127,amazon_ept_v10.ProductTypeMiscellaneous
Scientific_Supplies128,Scientific_Supplies,128,amazon_ept_v10.ProductTypeMiscellaneous
Sporting_and_Outdoor_Goods129,Sporting_and_Outdoor_Goods,129,amazon_ept_v10.ProductTypeMiscellaneous
Sports_Memorabilia130,Sports_Memorabilia,130,amazon_ept_v10.ProductTypeMiscellaneous
Stamps131,Stamps,131,amazon_ept_v10.ProductTypeMiscellaneous
Teaching_and_School_Supplies132,Teaching_and_School_Supplies,132,amazon_ept_v10.ProductTypeMiscellaneous
Watches133,Watches,133,amazon_ept_v10.ProductTypeMiscellaneous
Wholesale_and_Industrial134,Wholesale_and_Industrial,134,amazon_ept_v10.ProductTypeMiscellaneous
Misc_Other135,Misc_Other,135,amazon_ept_v10.ProductTypeMiscellaneous
Decorative_ArtsMiscellaneous,Decorative_Arts,136,amazon_ept_v10.ProductSubcategoryMiscellaneous
FurnitureMiscellaneous,Furniture,137,amazon_ept_v10.ProductSubcategoryMiscellaneous
Rugs_CarpetsMiscellaneous,Rugs_Carpets,138,amazon_ept_v10.ProductSubcategoryMiscellaneous
SilverMiscellaneous,Silver,139,amazon_ept_v10.ProductSubcategoryMiscellaneous
Textiles_LinensMiscellaneous,Textiles_Linens,140,amazon_ept_v10.ProductSubcategoryMiscellaneous
DrawingsMiscellaneous,Drawings,141,amazon_ept_v10.ProductSubcategoryMiscellaneous
Mixed_MediaMiscellaneous,Mixed_Media,142,amazon_ept_v10.ProductSubcategoryMiscellaneous
PaintingsMiscellaneous,Paintings,143,amazon_ept_v10.ProductSubcategoryMiscellaneous
Sculptures_CarvingsMiscellaneous,Sculptures_Carvings,144,amazon_ept_v10.ProductSubcategoryMiscellaneous
Car_AccessoriesMiscellaneous,Car_Accessories,145,amazon_ept_v10.ProductSubcategoryMiscellaneous
Car_PartsMiscellaneous,Car_Parts,146,amazon_ept_v10.ProductSubcategoryMiscellaneous
Car_PerformanceMiscellaneous,Car_Performance,147,amazon_ept_v10.ProductSubcategoryMiscellaneous
Truck_AccessoriesMiscellaneous,Truck_Accessories,148,amazon_ept_v10.ProductSubcategoryMiscellaneous
Truck_PartsMiscellaneous,Truck_Parts,149,amazon_ept_v10.ProductSubcategoryMiscellaneous
Truck_PerformanceMiscellaneous,Truck_Performance,150,amazon_ept_v10.ProductSubcategoryMiscellaneous
Coins_USMiscellaneous,Coins_US,151,amazon_ept_v10.ProductSubcategoryMiscellaneous
Coins_WorldMiscellaneous,Coins_World,152,amazon_ept_v10.ProductSubcategoryMiscellaneous
Paper_Money_USMiscellaneous,Paper_Money_US,153,amazon_ept_v10.ProductSubcategoryMiscellaneous
Paper_Money_WorldMiscellaneous,Paper_Money_World,154,amazon_ept_v10.ProductSubcategoryMiscellaneous
ScripophilyMiscellaneous,Scripophily,155,amazon_ept_v10.ProductSubcategoryMiscellaneous
AutographsMiscellaneous,Autographs,156,amazon_ept_v10.ProductSubcategoryMiscellaneous
ComicsMiscellaneous,Comics,157,amazon_ept_v10.ProductSubcategoryMiscellaneous
Holiday_SeasonalMiscellaneous,Holiday_Seasonal,158,amazon_ept_v10.ProductSubcategoryMiscellaneous
MilitariaMiscellaneous,Militaria,159,amazon_ept_v10.ProductSubcategoryMiscellaneous
Trading_CardsMiscellaneous,Trading_Cards,160,amazon_ept_v10.ProductSubcategoryMiscellaneous
CorsagesMiscellaneous,Corsages,161,amazon_ept_v10.ProductSubcategoryMiscellaneous
ExoticsMiscellaneous,Exotics,162,amazon_ept_v10.ProductSubcategoryMiscellaneous
Flowering_PlantsMiscellaneous,Flowering_Plants,163,amazon_ept_v10.ProductSubcategoryMiscellaneous
Green_PlantsMiscellaneous,Green_Plants,164,amazon_ept_v10.ProductSubcategoryMiscellaneous
Mixed_ArrangementsMiscellaneous,Mixed_Arrangements,165,amazon_ept_v10.ProductSubcategoryMiscellaneous
Single_FlowerMiscellaneous,Single_Flower,166,amazon_ept_v10.ProductSubcategoryMiscellaneous
AnniversaryMiscellaneous,Anniversary,167,amazon_ept_v10.ProductSubcategoryMiscellaneous
BirthdayMiscellaneous,Birthday,168,amazon_ept_v10.ProductSubcategoryMiscellaneous
HolidayMiscellaneous,Holiday,169,amazon_ept_v10.ProductSubcategoryMiscellaneous
WeddingMiscellaneous,Wedding,170,amazon_ept_v10.ProductSubcategoryMiscellaneous
CheeseMiscellaneous,Cheese,171,amazon_ept_v10.ProductSubcategoryMiscellaneous
WineMiscellaneous,Wine,172,amazon_ept_v10.ProductSubcategoryMiscellaneous
FurnitureMiscellaneous,Furniture,173,amazon_ept_v10.ProductSubcategoryMiscellaneous
DecorMiscellaneous,Decor,174,amazon_ept_v10.ProductSubcategoryMiscellaneous
LightingMiscellaneous,Lighting,175,amazon_ept_v10.ProductSubcategoryMiscellaneous
LampsMiscellaneous,Lamps,176,amazon_ept_v10.ProductSubcategoryMiscellaneous
IndoorMiscellaneous,Indoor,177,amazon_ept_v10.ProductSubcategoryMiscellaneous
OutdoorMiscellaneous,Outdoor,178,amazon_ept_v10.ProductSubcategoryMiscellaneous
JewelryMiscellaneous,Jewelry,179,amazon_ept_v10.ProductSubcategoryMiscellaneous
GemsMiscellaneous,Gems,180,amazon_ept_v10.ProductSubcategoryMiscellaneous
Garment_BagsMiscellaneous,Garment_Bags,181,amazon_ept_v10.ProductSubcategoryMiscellaneous
Duffle_BagsMiscellaneous,Duffle_Bags,182,amazon_ept_v10.ProductSubcategoryMiscellaneous
KitchenMiscellaneous,Kitchen,183,amazon_ept_v10.ProductSubcategoryMiscellaneous
LaundryMiscellaneous,Laundry,184,amazon_ept_v10.ProductSubcategoryMiscellaneous
Hospital_SuppliesMiscellaneous,Hospital_Supplies,185,amazon_ept_v10.ProductSubcategoryMiscellaneous
Home_HealthMiscellaneous,Home_Health,186,amazon_ept_v10.ProductSubcategoryMiscellaneous
MotorcylesMiscellaneous,Motorcyles,187,amazon_ept_v10.ProductSubcategoryMiscellaneous
Motorcycle_PartsMiscellaneous,Motorcycle_Parts,188,amazon_ept_v10.ProductSubcategoryMiscellaneous
Motorcycle_Protective_GearMiscellaneous,Motorcycle_Protective_Gear,189,amazon_ept_v10.ProductSubcategoryMiscellaneous
Pet_CareMiscellaneous,Pet_Care,190,amazon_ept_v10.ProductSubcategoryMiscellaneous
Pet_FoodMiscellaneous,Pet_Food,191,amazon_ept_v10.ProductSubcategoryMiscellaneous
Pet_ToysMiscellaneous,Pet_Toys,192,amazon_ept_v10.ProductSubcategoryMiscellaneous
GlassMiscellaneous,Glass,193,amazon_ept_v10.ProductSubcategoryMiscellaneous
PotteryMiscellaneous,Pottery,194,amazon_ept_v10.ProductSubcategoryMiscellaneous
PostersMiscellaneous,Posters,195,amazon_ept_v10.ProductSubcategoryMiscellaneous
PrintsMiscellaneous,Prints,196,amazon_ept_v10.ProductSubcategoryMiscellaneous
Lab_SuppliesMiscellaneous,Lab_Supplies,197,amazon_ept_v10.ProductSubcategoryMiscellaneous
Sporting_GoodsMiscellaneous,Sporting_Goods,198,amazon_ept_v10.ProductSubcategoryMiscellaneous
Outdoor_GearMiscellaneous,Outdoor_Gear,199,amazon_ept_v10.ProductSubcategoryMiscellaneous
MarineMiscellaneous,Marine,200,amazon_ept_v10.ProductSubcategoryMiscellaneous
AutographsMiscellaneous,Autographs,201,amazon_ept_v10.ProductSubcategoryMiscellaneous
Trading_CardsMiscellaneous,Trading_Cards,202,amazon_ept_v10.ProductSubcategoryMiscellaneous
Stamps_USMiscellaneous,Stamps_US,203,amazon_ept_v10.ProductSubcategoryMiscellaneous
Stamps_WorldMiscellaneous,Stamps_World,204,amazon_ept_v10.ProductSubcategoryMiscellaneous
PreschoolMiscellaneous,Preschool,205,amazon_ept_v10.ProductSubcategoryMiscellaneous
K-12Miscellaneous,K-12,206,amazon_ept_v10.ProductSubcategoryMiscellaneous
Special_NeedsMiscellaneous,Special_Needs,207,amazon_ept_v10.ProductSubcategoryMiscellaneous
MenMiscellaneous,Men,208,amazon_ept_v10.ProductSubcategoryMiscellaneous
WomenMiscellaneous,Women,209,amazon_ept_v10.ProductSubcategoryMiscellaneous
KidsMiscellaneous,Kids,210,amazon_ept_v10.ProductSubcategoryMiscellaneous
AgricultureMiscellaneous,Agriculture,211,amazon_ept_v10.ProductSubcategoryMiscellaneous
ArchitectureMiscellaneous,Architecture,212,amazon_ept_v10.ProductSubcategoryMiscellaneous
ConstructionMiscellaneous,Construction,213,amazon_ept_v10.ProductSubcategoryMiscellaneous
MarineMiscellaneous,Marine,214,amazon_ept_v10.ProductSubcategoryMiscellaneous
MetalworkingMiscellaneous,Metalworking,215,amazon_ept_v10.ProductSubcategoryMiscellaneous
OtherMiscellaneous,Other,216,amazon_ept_v10.ProductSubcategoryMiscellaneous
AntiquesMiscellaneous,Antiques,217,amazon_ept_v10.ProductCategoryMiscellaneous
ArtMiscellaneous,Art,218,amazon_ept_v10.ProductCategoryMiscellaneous
Car_Parts_and_AccessoriesMiscellaneous,Car_Parts_and_Accessories,219,amazon_ept_v10.ProductCategoryMiscellaneous
CoinsMiscellaneous,Coins,220,amazon_ept_v10.ProductCategoryMiscellaneous
CollectiblesMiscellaneous,Collectibles,221,amazon_ept_v10.ProductCategoryMiscellaneous
CraftsMiscellaneous,Crafts,222,amazon_ept_v10.ProductCategoryMiscellaneous
Event_TicketsMiscellaneous,Event_Tickets,223,amazon_ept_v10.ProductCategoryMiscellaneous
FlowersMiscellaneous,Flowers,224,amazon_ept_v10.ProductCategoryMiscellaneous
Gifts_and_OccasionsMiscellaneous,Gifts_and_Occasions,225,amazon_ept_v10.ProductCategoryMiscellaneous
Gourmet_Food_and_WineMiscellaneous,Gourmet_Food_and_Wine,226,amazon_ept_v10.ProductCategoryMiscellaneous
HobbiesMiscellaneous,Hobbies,227,amazon_ept_v10.ProductCategoryMiscellaneous
Home_Furniture_and_DecorMiscellaneous,Home_Furniture_and_Decor,228,amazon_ept_v10.ProductCategoryMiscellaneous
Home_Lighting_and_LampsMiscellaneous,Home_Lighting_and_Lamps,229,amazon_ept_v10.ProductCategoryMiscellaneous
Home_Organizers_and_StorageMiscellaneous,Home_Organizers_and_Storage,230,amazon_ept_v10.ProductCategoryMiscellaneous
Jewelry_and_GemsMiscellaneous,Jewelry_and_Gems,231,amazon_ept_v10.ProductCategoryMiscellaneous
LuggageMiscellaneous,Luggage,232,amazon_ept_v10.ProductCategoryMiscellaneous
Major_Home_AppliancesMiscellaneous,Major_Home_Appliances,233,amazon_ept_v10.ProductCategoryMiscellaneous
Medical_SuppliesMiscellaneous,Medical_Supplies,234,amazon_ept_v10.ProductCategoryMiscellaneous
MotorcyclesMiscellaneous,Motorcycles,235,amazon_ept_v10.ProductCategoryMiscellaneous
Musical_InstrumentsMiscellaneous,Musical_Instruments,236,amazon_ept_v10.ProductCategoryMiscellaneous
Pet_SuppliesMiscellaneous,Pet_Supplies,237,amazon_ept_v10.ProductCategoryMiscellaneous
Pottery_and_GlassMiscellaneous,Pottery_and_Glass,238,amazon_ept_v10.ProductCategoryMiscellaneous
Prints_and_PostersMiscellaneous,Prints_and_Posters,239,amazon_ept_v10.ProductCategoryMiscellaneous
Scientific_SuppliesMiscellaneous,Scientific_Supplies,240,amazon_ept_v10.ProductCategoryMiscellaneous
Sporting_and_Outdoor_GoodsMiscellaneous,Sporting_and_Outdoor_Goods,241,amazon_ept_v10.ProductCategoryMiscellaneous
Sports_MemorabiliaMiscellaneous,Sports_Memorabilia,242,amazon_ept_v10.ProductCategoryMiscellaneous
StampsMiscellaneous,Stamps,243,amazon_ept_v10.ProductCategoryMiscellaneous
Teaching_and_School_SuppliesMiscellaneous,Teaching_and_School_Supplies,244,amazon_ept_v10.ProductCategoryMiscellaneous
WatchesMiscellaneous,Watches,245,amazon_ept_v10.ProductCategoryMiscellaneous
Wholesale_and_IndustrialMiscellaneous,Wholesale_and_Industrial,246,amazon_ept_v10.ProductCategoryMiscellaneous
Misc_OtherMiscellaneous,Misc_Other,247,amazon_ept_v10.ProductCategoryMiscellaneous
point-and-shootFilmCamera,point-and-shoot,248,amazon_ept_v10.CameraTypeFilm_camera
